chapter_id,chapter_name,case_id,case_name,ppt_url
第2章,分治法,1.2-1,合并排序算法,/downloads/ppt/ch_2.pdf
第3章,减治法,1.3-1,拓扑排序算法,/downloads/ppt/ch_3.pdf
第4章,贪心法,1.4-1,哈夫曼编码算法,/downloads/ppt/ch_4.pdf
第5章,动态规划法,1.5-1,0-1背包问题的动态规划算法,/downloads/ppt/ch_5.pdf
第6章,回溯法,1.6-1,n-后问题的回溯算法,/downloads/ppt/ch_6.pdf
第7章,分支限界法,1.7-1,0-1背包问题的分支限界算法,/downloads/ppt/ch_7.pdf
第8章,分类算法,2.1-1,决策树分类算法,/downloads/ppt/ch_8.pdf
第8章,分类算法,2.1-2,支持向量机（SVM）分类算法,/downloads/ppt/ch_8.pdf
第8章,分类算法,2.1-3,朴素贝叶斯（Naïve Bayes）分类算法,/downloads/ppt/ch_8.pdf
第9章,聚类算法,2.2-1,k-均值（k-Means）算法,/downloads/ppt/ch_9.pdf
第10章,异常检测算法,2.3-1,局部异常因子（LOF）算法,/downloads/ppt/ch_10.pdf
第10章,异常检测算法,2.3-2,基于聚类的局部异常因子（CBLOF）算法,/downloads/ppt/ch_10.pdf
第11章,频繁模式挖掘算法,2.4-1,Apriori算法,/downloads/ppt/ch_11.pdf
第12章,链接分析算法,2.5-1,PageRank算法,/downloads/ppt/ch_12.pdf
第13章,概率推理算法,2.6-1,贝叶斯网（BN）结构学习算法,/downloads/ppt/ch_13.pdf
第13章,概率推理算法,2.6-2,贝叶斯网（BN）精确推理算法,/downloads/ppt/ch_13.pdf
第13章,概率推理算法,2.6-3,贝叶斯网（BN）近似推理算法,/downloads/ppt/ch_13.pdf
第15章,降维算法,3.2-1,自编码器（AE）,/downloads/ppt/ch_15.pdf
第15章,降维算法,3.2-2,变分自编码器（VAE）,/downloads/ppt/ch_15.pdf
第15章,降维算法,3.2-3,生成对抗网络（GAN）,/downloads/ppt/ch_15.pdf
第16章,目标检测算法,3.3-1,YOLO算法,/downloads/ppt/ch_16.pdf
第17章,问答系统算法,3.4-1,基于RNN的问答系统,/downloads/ppt/ch_17.pdf
第17章,问答系统算法,3.4-2,基于LSTM的问答系统,/downloads/ppt/ch_17.pdf
第18章,图分析算法,3.5-1,基于图卷积网络（GCN）的图节点分类算法,/downloads/ppt/ch_18.pdf
,基于BERT-BiLSTM-Softmax的关系抽取,2024-8.2.2-1,基于BERT-BiLSTM-Softmax的关系抽取,
,基于RNN的问答系统,2024-6.3.2-1,基于RNN的问答系统,
,R-GCN知识图谱推理,2024-8.4.2-1,R-GCN知识图谱推理,
,BERT,2024-6.2.2-1,BERT,
,基于LSTM的问答系统,2024-6.3.2-2,基于LSTM的问答系统,
,Word2Vec,2024-6.2.1-2,Word2Vec,
,VAE（变分自编码器）,2024-4.1.3-1,VAE（变分自编码器）,
,Mask R-CNN,2024-5.3.2-1,Mask R-CNN,
,基于BERT-BiLSTM-CRF的命名实体识别,2024-8.2.1-1,基于BERT-BiLSTM-CRF的命名实体识别,
,Siamese FC,2024-5.4.2-1,Siamese FC,
,支持向量机,2024-4.2.3-1,支持向量机,
,基于GCN的链接预测,2024-7.4.2-1,基于GCN的链接预测,
,基于GCN的节点分类,2024-7.3.2-1,基于GCN的节点分类,
,TransE知识图谱嵌入,2024-8.3.1-1,TransE知识图谱嵌入,
,N-gram,2024-6.2.1-1,N-gram
,基于LSTM的机器翻译,2024-6.5.2-1,基于LSTM的机器翻译,
,基于GCN的社区发现,2024-7.5.2-1,基于GCN的社区发现,
,基于BiLSTM-LSTM-Softmax的实体关系联合抽取,2024-8.2.3-1,基于BiLSTM-LSTM-Softmax的实体关系联合抽取,
,基于BERT的情感分析,2024-6.4.4-1,基于BERT的情感分析,
